,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,best_month,worst_month,final_value,min_equity_value,valid_for_chart
long_only equal top10 raw mom3-1,186.04450661331356,0.21976562707479075,0.3346555398448176,0.6566920337750805,-0.47331276032534997,0.5854430379746836,0.4002906191515589,-0.2308812969753193,187.04450661331356,0.7666613173965282,True
long_only scaled cap30 top10 raw mom3-1,395.8224271351454,0.2551073380252009,0.40440149535279313,0.6308268909902263,-0.508825646936998,0.560126582278481,0.5925435208417542,-0.291157871195807,396.8224271351454,0.742544464508111,True
long_only scaled cap25 top10 raw mom3-1,405.55906280806676,0.2562632194768002,0.39811180590886386,0.6436966090261192,-0.5044968153027112,0.569620253164557,0.5602887485632617,-0.2911595433359284,406.55906280806676,0.7403283688367756,True
long_only scaled cap20 top10 raw mom3-1,345.22139963456664,0.24862251282881376,0.38630902722500005,0.6435845276895567,-0.4968276585517176,0.5791139240506329,0.5292253390541519,-0.28519281034575217,346.22139963456664,0.7416005633301634,True
long_only scaled cap15 top10 raw mom3-1,283.0686097430072,0.23927580650787705,0.36998363844651805,0.6467199671654261,-0.4821406255307725,0.569620253164557,0.4716965039209823,-0.2745698890008708,284.0686097430072,0.691348615282365,True
long_only scaled cap10 top10 raw mom3-1,186.04450661331356,0.21976562707479075,0.3346555398448176,0.6566920337750805,-0.47331276032534997,0.5854430379746836,0.4002906191515589,-0.2308812969753193,187.04450661331356,0.7666613173965283,True
long_only equal top20 raw mom3-1,99.57977605738013,0.1913646476433435,0.28602306482620904,0.6690532029632607,-0.47882760539607083,0.5759493670886076,0.3668960089663196,-0.23358766632832206,100.57977605738013,0.8423625109371202,True
long_only scaled cap30 top20 raw mom3-1,323.7519947727256,0.2455907827924959,0.35530407977014183,0.691212954693278,-0.4514355577611463,0.569620253164557,0.5176530786956749,-0.24902788155628758,324.7519947727256,0.7663445634807705,True
long_only scaled cap25 top20 raw mom3-1,332.8846581870108,0.24690330799985616,0.3536094164364865,0.6982373673417253,-0.4514355577611463,0.569620253164557,0.49596908367250825,-0.24902788155628758,333.8846581870108,0.7672214770777724,True
long_only scaled cap20 top20 raw mom3-1,352.90946840575936,0.24966433100409158,0.3503961238572923,0.7125202421068269,-0.4514355577611463,0.5727848101265823,0.47344593260023676,-0.24902788155628758,353.90946840575936,0.7756599442071725,True
long_only scaled cap15 top20 raw mom3-1,304.55884273201195,0.24271256862660362,0.3414802468966525,0.710766056989702,-0.4527313881618995,0.5759493670886076,0.43209315304098894,-0.24858461201124135,305.55884273201195,0.7956170779285615,True
long_only scaled cap10 top20 raw mom3-1,233.94673140538097,0.2303730588797701,0.3242005999198614,0.7105880092039177,-0.4524450857776122,0.5917721518987342,0.4013765024000046,-0.23614198870317016,234.94673140538097,0.8131100499262353,True
long_only equal top25 raw mom3-1,103.05215631961751,0.19290118931217837,0.27426044504388003,0.7033503839072213,-0.47590340374605866,0.5791139240506329,0.3415971761857919,-0.23316073402341958,104.05215631961751,0.8810930306562753,True
long_only scaled cap30 top25 raw mom3-1,260.53429069705743,0.23539228548198143,0.3401006537799753,0.6921253542613479,-0.4569186216087934,0.569620253164557,0.5097063031318172,-0.24317360827690215,261.53429069705743,0.8045637936665699,True
long_only scaled cap25 top25 raw mom3-1,266.6605152788047,0.2364790031577666,0.3384766022195392,0.6986568690629436,-0.4569186216087935,0.569620253164557,0.4874546812826609,-0.24317360827690215,267.6605152788047,0.8045637936665699,True
long_only scaled cap20 top25 raw mom3-1,276.11546076786937,0.23811010805473432,0.33685166862876903,0.706869314389967,-0.4569186216087935,0.569620253164557,0.4652030594335044,-0.24317360827690215,277.11546076786937,0.8072451089071413,True
long_only scaled cap15 top25 raw mom3-1,277.8432918750164,0.23840238516146628,0.3319971199944119,0.718085702567176,-0.4569186216087934,0.5727848101265823,0.4252664113544667,-0.24317360827690215,278.8432918750164,0.8205657190972547,True
long_only scaled cap10 top25 raw mom3-1,206.51437846495838,0.22458566681294756,0.31830487847830186,0.7055677810739462,-0.4591202012799839,0.5822784810126582,0.39316534966040534,-0.23796307092239743,207.51437846495838,0.8318246684806688,True
long_only equal top30 raw mom3-1,89.909760047577,0.1868002096386574,0.2618843077122278,0.7132928706974044,-0.4630523282847351,0.5791139240506329,0.2994531432688724,-0.2493399814630856,90.909760047577,0.9195775131272743,True
long_only scaled cap30 top30 raw mom3-1,232.3614560166004,0.23005677302410454,0.324989619595082,0.7078896037071639,-0.4544557103684045,0.5791139240506329,0.4881460730954544,-0.23018698075468635,233.3614560166004,0.8390333820766518,True
long_only scaled cap25 top30 raw mom3-1,233.55492430073986,0.2302950790130549,0.3233760732554005,0.7121586847619651,-0.4544557103684046,0.5791139240506329,0.4643544348151291,-0.23018698075468635,234.55492430073986,0.8390333820766518,True
long_only scaled cap20 top30 raw mom3-1,232.30204482309608,0.23004487946977625,0.3221040204711196,0.714194374641165,-0.4544557103684045,0.5791139240506329,0.4405627965348039,-0.23018698075468635,233.30204482309608,0.8390333820766518,True
long_only scaled cap15 top30 raw mom3-1,241.79836408597828,0.2319099210219231,0.31956207117189256,0.7257116596205144,-0.4544557103684045,0.5759493670886076,0.4063807885139873,-0.23018698075468635,242.79836408597828,0.8463326289504934,True
