strategy_name,signal_name,signal_type,volatility_lookback_months,strategy_type,weighting,top_n,momentum_window,lookback_months,skip_months,max_weight,gross_exposure,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,best_month,worst_month,final_value,min_equity_value,valid_for_chart
long_only equal top10 raw mom3-1,raw,momentum,,long_only,equal,10,3-1,3,1,,1.0,18604.45%,21.98%,33.47%,0.657,-47.33%,58.54%,40.03%,-23.09%,187.04,0.77,True
long_only scaled cap30 top10 raw mom3-1,raw,momentum,,long_only,scaled,10,3-1,3,1,0.3,1.0,39582.24%,25.51%,40.44%,0.631,-50.88%,56.01%,59.25%,-29.12%,396.82,0.74,True
long_only scaled cap25 top10 raw mom3-1,raw,momentum,,long_only,scaled,10,3-1,3,1,0.25,1.0,40555.91%,25.63%,39.81%,0.644,-50.45%,56.96%,56.03%,-29.12%,406.56,0.74,True
long_only scaled cap20 top10 raw mom3-1,raw,momentum,,long_only,scaled,10,3-1,3,1,0.2,1.0,34522.14%,24.86%,38.63%,0.644,-49.68%,57.91%,52.92%,-28.52%,346.22,0.74,True
long_only scaled cap15 top10 raw mom3-1,raw,momentum,,long_only,scaled,10,3-1,3,1,0.15,1.0,28306.86%,23.93%,37.00%,0.647,-48.21%,56.96%,47.17%,-27.46%,284.07,0.69,True
long_only scaled cap10 top10 raw mom3-1,raw,momentum,,long_only,scaled,10,3-1,3,1,0.1,1.0,18604.45%,21.98%,33.47%,0.657,-47.33%,58.54%,40.03%,-23.09%,187.04,0.77,True
long_only equal top20 raw mom3-1,raw,momentum,,long_only,equal,20,3-1,3,1,,1.0,9957.98%,19.14%,28.60%,0.669,-47.88%,57.59%,36.69%,-23.36%,100.58,0.84,True
long_only scaled cap30 top20 raw mom3-1,raw,momentum,,long_only,scaled,20,3-1,3,1,0.3,1.0,32375.20%,24.56%,35.53%,0.691,-45.14%,56.96%,51.77%,-24.90%,324.75,0.77,True
long_only scaled cap25 top20 raw mom3-1,raw,momentum,,long_only,scaled,20,3-1,3,1,0.25,1.0,33288.47%,24.69%,35.36%,0.698,-45.14%,56.96%,49.60%,-24.90%,333.88,0.77,True
long_only scaled cap20 top20 raw mom3-1,raw,momentum,,long_only,scaled,20,3-1,3,1,0.2,1.0,35290.95%,24.97%,35.04%,0.713,-45.14%,57.28%,47.34%,-24.90%,353.91,0.78,True
long_only scaled cap15 top20 raw mom3-1,raw,momentum,,long_only,scaled,20,3-1,3,1,0.15,1.0,30455.88%,24.27%,34.15%,0.711,-45.27%,57.59%,43.21%,-24.86%,305.56,0.80,True
long_only scaled cap10 top20 raw mom3-1,raw,momentum,,long_only,scaled,20,3-1,3,1,0.1,1.0,23394.67%,23.04%,32.42%,0.711,-45.24%,59.18%,40.14%,-23.61%,234.95,0.81,True
long_only equal top25 raw mom3-1,raw,momentum,,long_only,equal,25,3-1,3,1,,1.0,10305.22%,19.29%,27.43%,0.703,-47.59%,57.91%,34.16%,-23.32%,104.05,0.88,True
long_only scaled cap30 top25 raw mom3-1,raw,momentum,,long_only,scaled,25,3-1,3,1,0.3,1.0,26053.43%,23.54%,34.01%,0.692,-45.69%,56.96%,50.97%,-24.32%,261.53,0.80,True
long_only scaled cap25 top25 raw mom3-1,raw,momentum,,long_only,scaled,25,3-1,3,1,0.25,1.0,26666.05%,23.65%,33.85%,0.699,-45.69%,56.96%,48.75%,-24.32%,267.66,0.80,True
long_only scaled cap20 top25 raw mom3-1,raw,momentum,,long_only,scaled,25,3-1,3,1,0.2,1.0,27611.55%,23.81%,33.69%,0.707,-45.69%,56.96%,46.52%,-24.32%,277.12,0.81,True
long_only scaled cap15 top25 raw mom3-1,raw,momentum,,long_only,scaled,25,3-1,3,1,0.15,1.0,27784.33%,23.84%,33.20%,0.718,-45.69%,57.28%,42.53%,-24.32%,278.84,0.82,True
long_only scaled cap10 top25 raw mom3-1,raw,momentum,,long_only,scaled,25,3-1,3,1,0.1,1.0,20651.44%,22.46%,31.83%,0.706,-45.91%,58.23%,39.32%,-23.80%,207.51,0.83,True
long_only equal top30 raw mom3-1,raw,momentum,,long_only,equal,30,3-1,3,1,,1.0,8990.98%,18.68%,26.19%,0.713,-46.31%,57.91%,29.95%,-24.93%,90.91,0.92,True
long_only scaled cap30 top30 raw mom3-1,raw,momentum,,long_only,scaled,30,3-1,3,1,0.3,1.0,23236.15%,23.01%,32.50%,0.708,-45.45%,57.91%,48.81%,-23.02%,233.36,0.84,True
long_only scaled cap25 top30 raw mom3-1,raw,momentum,,long_only,scaled,30,3-1,3,1,0.25,1.0,23355.49%,23.03%,32.34%,0.712,-45.45%,57.91%,46.44%,-23.02%,234.55,0.84,True
long_only scaled cap20 top30 raw mom3-1,raw,momentum,,long_only,scaled,30,3-1,3,1,0.2,1.0,23230.20%,23.00%,32.21%,0.714,-45.45%,57.91%,44.06%,-23.02%,233.30,0.84,True
long_only scaled cap15 top30 raw mom3-1,raw,momentum,,long_only,scaled,30,3-1,3,1,0.15,1.0,24179.84%,23.19%,31.96%,0.726,-45.45%,57.59%,40.64%,-23.02%,242.80,0.85,True
long_only scaled cap10 top30 raw mom3-1,raw,momentum,,long_only,scaled,30,3-1,3,1,0.1,1.0,20064.92%,22.33%,31.04%,0.719,-45.77%,58.23%,38.00%,-22.99%,201.65,0.85,True
long_only equal top40 raw mom3-1,raw,momentum,,long_only,equal,40,3-1,3,1,,1.0,7015.79%,17.58%,25.04%,0.702,-48.83%,59.49%,25.46%,-28.20%,71.16,0.94,True
long_only scaled cap30 top40 raw mom3-1,raw,momentum,,long_only,scaled,40,3-1,3,1,0.3,1.0,18548.51%,21.96%,30.65%,0.717,-45.51%,59.49%,45.37%,-21.89%,186.49,0.88,True
long_only scaled cap25 top40 raw mom3-1,raw,momentum,,long_only,scaled,40,3-1,3,1,0.25,1.0,18049.00%,21.84%,30.51%,0.716,-45.51%,59.49%,42.75%,-21.89%,181.49,0.88,True
long_only scaled cap20 top40 raw mom3-1,raw,momentum,,long_only,scaled,40,3-1,3,1,0.2,1.0,18029.94%,21.83%,30.35%,0.719,-45.51%,59.49%,40.12%,-21.89%,181.30,0.88,True
long_only scaled cap15 top40 raw mom3-1,raw,momentum,,long_only,scaled,40,3-1,3,1,0.15,1.0,18073.43%,21.84%,30.23%,0.722,-45.51%,59.49%,37.50%,-21.89%,181.73,0.88,True
long_only scaled cap10 top40 raw mom3-1,raw,momentum,,long_only,scaled,40,3-1,3,1,0.1,1.0,17890.49%,21.80%,29.81%,0.731,-45.54%,59.18%,36.84%,-21.89%,179.90,0.88,True
classic_long_short equal top10 raw mom3-1,raw,momentum,,classic_long_short,equal,10,3-1,3,1,,1.0,-801.11%,,305.66%,,-1112.49%,50.00%,21.86%,-1565.57%,-7.01,-12.24,False
classic_long_short scaled cap30 top10 raw mom3-1,raw,momentum,,classic_long_short,scaled,10,3-1,3,1,0.3,1.0,-952.68%,,1620.83%,,-1439.13%,50.32%,33.26%,-8316.44%,-8.53,-24.75,False
classic_long_short scaled cap25 top10 raw mom3-1,raw,momentum,,classic_long_short,scaled,10,3-1,3,1,0.25,1.0,-881.10%,,1511.75%,,-1406.90%,50.32%,32.13%,-7756.59%,-7.81,-23.21,False
classic_long_short scaled cap20 top10 raw mom3-1,raw,momentum,,classic_long_short,scaled,10,3-1,3,1,0.2,1.0,-805.61%,,1210.39%,,-1342.04%,50.63%,32.13%,-6209.87%,-7.06,-21.70,False
classic_long_short scaled cap15 top10 raw mom3-1,raw,momentum,,classic_long_short,scaled,10,3-1,3,1,0.15,1.0,-808.82%,,909.08%,,-1328.04%,51.27%,31.89%,-4663.14%,-7.09,-20.62,False
classic_long_short scaled cap10 top10 raw mom3-1,raw,momentum,,classic_long_short,scaled,10,3-1,3,1,0.1,1.0,-759.80%,,607.64%,,-1235.61%,51.27%,29.50%,-3115.70%,-6.60,-16.54,False
classic_long_short equal top20 raw mom3-1,raw,momentum,,classic_long_short,equal,20,3-1,3,1,,1.0,-592.60%,,153.66%,,-652.24%,51.58%,12.24%,-785.55%,-4.93,-7.90,False
classic_long_short scaled cap30 top20 raw mom3-1,raw,momentum,,classic_long_short,scaled,20,3-1,3,1,0.3,1.0,-2486.81%,,1034.15%,,-2725.46%,50.32%,27.00%,-5305.80%,-23.87,-49.60,False
classic_long_short scaled cap25 top20 raw mom3-1,raw,momentum,,classic_long_short,scaled,20,3-1,3,1,0.25,1.0,-2510.94%,,1034.15%,,-2752.01%,50.32%,27.00%,-5305.80%,-24.11,-50.10,False
classic_long_short scaled cap20 top20 raw mom3-1,raw,momentum,,classic_long_short,scaled,20,3-1,3,1,0.2,1.0,-2522.26%,,1034.15%,,-2778.69%,50.32%,26.82%,-5305.80%,-24.22,-50.28,False
classic_long_short scaled cap15 top20 raw mom3-1,raw,momentum,,classic_long_short,scaled,20,3-1,3,1,0.15,1.0,-2226.35%,,908.37%,,-2484.34%,50.00%,24.65%,-4660.20%,-21.26,-44.50,False
classic_long_short scaled cap10 top20 raw mom3-1,raw,momentum,,classic_long_short,scaled,20,3-1,3,1,0.1,1.0,-1541.73%,,607.05%,,-1743.30%,50.95%,23.48%,-3113.40%,-14.42,-30.69,False
classic_long_short equal top25 raw mom3-1,raw,momentum,,classic_long_short,equal,25,3-1,3,1,,1.0,-570.87%,,123.20%,,-568.91%,50.95%,11.96%,-629.20%,-4.71,-7.48,False
classic_long_short scaled cap30 top25 raw mom3-1,raw,momentum,,classic_long_short,scaled,25,3-1,3,1,0.3,1.0,-2439.28%,,820.76%,,-2442.60%,51.58%,25.92%,-4210.73%,-23.39,-44.99,False
classic_long_short scaled cap25 top25 raw mom3-1,raw,momentum,,classic_long_short,scaled,25,3-1,3,1,0.25,1.0,-2460.45%,,820.76%,,-2463.80%,51.58%,25.92%,-4210.73%,-23.60,-45.40,False
classic_long_short scaled cap20 top25 raw mom3-1,raw,momentum,,classic_long_short,scaled,25,3-1,3,1,0.2,1.0,-2477.79%,,820.76%,,-2485.09%,51.58%,25.92%,-4210.73%,-23.78,-45.73,False
