strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
raw_3-1 | long_only | equal | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,equal,,1.0,,,,18604.47%,21.98%,33.47%,0.657,-47.33%,58.54%,187.045,True,0.964,16.67%,0.435,0.542,0.813,16.60%,0.608,0.540,0.981,15.69%,0.587,0.572,0.904,14.54%,0.459,0.447,0.928,19.91%,0.512,0.675
raw_3-1 | long_only | scaled cap25 | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,scaled,0.25,1.0,,,,40555.85%,25.63%,39.81%,0.644,-50.45%,56.96%,406.559,True,0.981,21.62%,0.372,0.580,0.795,21.90%,0.500,0.564,1.022,20.39%,0.515,0.603,1.076,14.72%,0.476,0.456,0.928,22.00%,0.444,0.620
raw_3-1 | long_only | scaled cap20 | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,scaled,0.2,1.0,,,,34522.08%,24.86%,38.63%,0.644,-49.68%,57.91%,346.221,True,0.994,20.47%,0.388,0.573,0.803,20.78%,0.521,0.559,1.030,19.27%,0.535,0.599,1.051,14.85%,0.476,0.462,0.929,22.00%,0.454,0.639
raw_3-1 | long_only | scaled cap15 | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,scaled,0.15,1.0,,,,28306.91%,23.93%,37.00%,0.647,-48.21%,56.96%,284.069,True,1.003,19.06%,0.409,0.565,0.821,19.25%,0.556,0.557,1.019,18.05%,0.552,0.591,1.002,15.37%,0.467,0.473,0.940,21.88%,0.475,0.665
raw_3-1 | long_only | equal | top20,raw_3-1,momentum,3.0,1,raw_momentum,long_only,20,equal,,1.0,,,,9957.98%,19.14%,28.60%,0.669,-47.88%,57.59%,100.580,True,0.978,12.78%,0.516,0.513,0.812,12.85%,0.711,0.523,0.952,12.20%,0.668,0.550,0.753,12.49%,0.444,0.367,0.925,15.65%,0.598,0.663
raw_3-1 | long_only | scaled cap25 | top20,raw_3-1,momentum,3.0,1,raw_momentum,long_only,20,scaled,0.25,1.0,,,,33288.42%,24.69%,35.36%,0.698,-45.14%,56.96%,333.884,True,0.970,19.41%,0.414,0.595,0.798,19.55%,0.566,0.587,0.996,18.33%,0.565,0.627,0.942,15.02%,0.463,0.464,0.921,20.36%,0.491,0.656
raw_3-1 | long_only | scaled cap20 | top20,raw_3-1,momentum,3.0,1,raw_momentum,long_only,20,scaled,0.2,1.0,,,,35290.84%,24.97%,35.04%,0.713,-45.14%,57.28%,353.908,True,0.976,19.49%,0.420,0.606,0.800,19.67%,0.572,0.600,0.997,18.46%,0.570,0.640,0.945,15.30%,0.468,0.479,0.925,20.75%,0.497,0.678
raw_3-1 | long_only | scaled cap15 | top20,raw_3-1,momentum,3.0,1,raw_momentum,long_only,20,scaled,0.15,1.0,,,,30455.79%,24.27%,34.15%,0.711,-45.27%,57.59%,305.558,True,0.975,18.67%,0.431,0.598,0.798,18.85%,0.586,0.592,0.994,17.65%,0.584,0.634,0.934,15.07%,0.473,0.479,0.919,20.55%,0.505,0.690
raw_3-1 | long_only | equal | top30,raw_3-1,momentum,3.0,1,raw_momentum,long_only,30,equal,,1.0,,,,8990.98%,18.68%,26.19%,0.713,-46.31%,57.91%,90.910,True,0.964,11.90%,0.555,0.531,0.797,11.99%,0.763,0.554,0.920,11.51%,0.704,0.575,0.681,12.35%,0.435,0.352,0.909,14.90%,0.640,0.712
raw_3-1 | long_only | scaled cap25 | top30,raw_3-1,momentum,3.0,1,raw_momentum,long_only,30,scaled,0.25,1.0,,,,23355.46%,23.03%,32.34%,0.712,-45.45%,57.91%,234.555,True,0.977,17.05%,0.456,0.585,0.801,17.23%,0.620,0.583,0.982,16.18%,0.609,0.623,0.874,14.05%,0.464,0.439,0.919,18.54%,0.531,0.665
raw_3-1 | long_only | scaled cap20 | top30,raw_3-1,momentum,3.0,1,raw_momentum,long_only,30,scaled,0.2,1.0,,,,23230.16%,23.00%,32.21%,0.714,-45.45%,57.91%,233.302,True,0.979,16.98%,0.459,0.587,0.802,17.16%,0.624,0.585,0.982,16.12%,0.611,0.625,0.874,14.01%,0.466,0.440,0.922,18.55%,0.535,0.671
raw_3-1 | long_only | scaled cap15 | top30,raw_3-1,momentum,3.0,1,raw_momentum,long_only,30,scaled,0.15,1.0,,,,24179.81%,23.19%,31.96%,0.726,-45.45%,57.59%,242.798,True,0.982,17.04%,0.464,0.596,0.804,17.23%,0.630,0.597,0.982,16.21%,0.616,0.637,0.874,14.20%,0.470,0.451,0.927,18.79%,0.543,0.690
raw_3-1 | classic_long_short | equal | top10,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,10,equal,,1.0,,,,-801.11%,,305.66%,,-1112.49%,50.00%,-7.011,False,-2.958,-33.45%,-0.146,-0.225,-2.766,-30.28%,-0.227,-0.228,-1.901,-41.42%,-0.125,-0.227,1.572,-89.13%,0.080,-0.246,-2.367,-67.43%,-0.127,-0.229
raw_3-1 | classic_long_short | scaled cap25 | top10,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,10,scaled,0.25,1.0,,,,-881.10%,,1511.75%,,-1406.90%,50.32%,-7.811,False,-13.645,-174.05%,-0.136,-0.203,-13.058,-156.23%,-0.216,-0.203,-8.790,-210.62%,-0.117,-0.203,7.771,-449.41%,0.080,-0.224,-11.056,-343.34%,-0.120,-0.226
raw_3-1 | classic_long_short | scaled cap20 | top10,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,10,scaled,0.2,1.0,,,,-805.61%,,1210.39%,,-1342.04%,50.63%,-7.056,False,-11.022,-138.81%,-0.137,-0.204,-10.512,-124.80%,-0.218,-0.205,-7.098,-168.38%,-0.118,-0.205,6.232,-360.47%,0.080,-0.226,-8.901,-275.39%,-0.121,-0.227
raw_3-1 | classic_long_short | scaled cap15 | top10,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,10,scaled,0.15,1.0,,,,-808.82%,,909.08%,,-1328.04%,51.27%,-7.088,False,-8.391,-103.08%,-0.139,-0.207,-7.968,-92.80%,-0.220,-0.208,-5.401,-125.61%,-0.119,-0.207,4.697,-270.84%,0.081,-0.229,-6.743,-206.60%,-0.122,-0.228
raw_3-1 | classic_long_short | equal | top20,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,20,equal,,1.0,,,,-592.60%,,153.66%,,-652.24%,51.58%,-4.926,False,-1.562,-15.97%,-0.153,-0.250,-1.413,-14.81%,-0.230,-0.254,-0.998,-20.24%,-0.130,-0.254,0.789,-44.01%,0.080,-0.275,-1.218,-33.46%,-0.130,-0.235
raw_3-1 | classic_long_short | scaled cap25 | top20,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,20,scaled,0.25,1.0,,,,-2510.94%,,1034.15%,,-2752.01%,50.32%,-24.109,False,-9.366,-117.03%,-0.137,-0.204,-8.946,-104.98%,-0.217,-0.205,-6.031,-142.17%,-0.117,-0.204,5.317,-304.87%,0.080,-0.225,-7.600,-232.29%,-0.121,-0.225
raw_3-1 | classic_long_short | scaled cap20 | top20,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,20,scaled,0.2,1.0,,,,-2522.26%,,1034.15%,,-2778.70%,50.32%,-24.223,False,-9.366,-117.02%,-0.137,-0.204,-8.946,-104.97%,-0.217,-0.205,-6.031,-142.15%,-0.117,-0.204,5.318,-304.86%,0.080,-0.225,-7.599,-232.23%,-0.121,-0.225
raw_3-1 | classic_long_short | scaled cap15 | top20,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,20,scaled,0.15,1.0,,,,-2226.35%,,908.37%,,-2484.34%,50.00%,-21.263,False,-8.272,-102.44%,-0.137,-0.205,-7.884,-91.99%,-0.217,-0.206,-5.325,-124.65%,-0.118,-0.206,4.672,-267.78%,0.080,-0.226,-6.696,-203.93%,-0.121,-0.225
raw_3-1 | classic_long_short | equal | top30,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,30,equal,,1.0,,,,-471.37%,,103.15%,,-493.10%,52.53%,-3.714,False,-1.089,-10.05%,-0.159,-0.272,-0.970,-9.40%,-0.236,-0.275,-0.696,-13.02%,-0.135,-0.277,0.543,-29.12%,0.082,-0.302,-0.842,-21.88%,-0.134,-0.238
raw_3-1 | classic_long_short | scaled cap25 | top30,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,30,scaled,0.25,1.0,,,,-2259.73%,,641.01%,,-2128.20%,51.90%,-21.597,False,-5.879,-71.42%,-0.138,-0.208,-5.583,-64.21%,-0.218,-0.210,-3.777,-87.28%,-0.118,-0.209,3.311,-188.29%,0.081,-0.230,-4.748,-143.32%,-0.122,-0.226
raw_3-1 | classic_long_short | scaled cap20 | top30,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,30,scaled,0.2,1.0,,,,-2277.58%,,641.01%,,-2144.97%,51.90%,-21.776,False,-5.879,-71.39%,-0.138,-0.208,-5.583,-64.18%,-0.218,-0.209,-3.777,-87.25%,-0.118,-0.209,3.311,-188.25%,0.081,-0.230,-4.748,-143.28%,-0.122,-0.226
raw_3-1 | classic_long_short | scaled cap15 | top30,raw_3-1,momentum,3.0,1,raw_momentum,classic_long_short,30,scaled,0.15,1.0,,,,-2261.58%,,641.01%,,-2161.80%,51.90%,-21.616,False,-5.879,-71.43%,-0.138,-0.208,-5.583,-64.22%,-0.218,-0.210,-3.778,-87.28%,-0.118,-0.209,3.310,-188.28%,0.080,-0.230,-4.747,-143.29%,-0.122,-0.226
raw_3-1 | directional_abs | equal | top10,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,10,equal,,1.0,,,,5136.64%,16.22%,613.08%,0.026,-116.85%,52.85%,52.366,False,-5.918,-55.04%,-0.146,-0.191,-5.459,-49.52%,-0.223,-0.193,-3.809,-70.93%,-0.125,-0.193,3.262,-171.56%,0.083,-0.216,-4.585,-126.53%,-0.123,-0.211
raw_3-1 | directional_abs | scaled cap25 | top10,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,10,scaled,0.25,1.0,,,,15503.45%,21.14%,1238.92%,0.017,-119.24%,53.48%,156.035,False,-11.362,-127.20%,-0.138,-0.193,-10.739,-113.81%,-0.217,-0.194,-7.300,-157.84%,-0.118,-0.193,6.519,-357.35%,0.082,-0.216,-9.041,-268.40%,-0.120,-0.217
raw_3-1 | directional_abs | scaled cap20 | top10,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,10,scaled,0.2,1.0,,,,15056.72%,21.01%,1215.60%,0.017,-119.25%,53.16%,151.567,False,-11.159,-124.55%,-0.139,-0.193,-10.542,-111.46%,-0.217,-0.194,-7.172,-154.63%,-0.118,-0.193,6.399,-350.58%,0.082,-0.216,-8.872,-263.23%,-0.120,-0.217
raw_3-1 | directional_abs | scaled cap15 | top10,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,10,scaled,0.15,1.0,,,,11263.66%,19.69%,914.33%,0.022,-120.01%,53.80%,113.637,False,-8.541,-89.60%,-0.141,-0.192,-8.005,-80.27%,-0.219,-0.193,-5.485,-112.67%,-0.120,-0.193,4.854,-261.69%,0.083,-0.217,-6.720,-195.36%,-0.121,-0.215
raw_3-1 | directional_abs | equal | top20,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,20,equal,,1.0,,,,-1234.36%,,311.50%,,-410.00%,53.16%,-11.344,False,-3.217,-23.85%,-0.156,-0.198,-2.859,-22.03%,-0.230,-0.201,-2.053,-32.67%,-0.132,-0.200,1.692,-83.70%,0.085,-0.222,-2.407,-60.66%,-0.127,-0.206
raw_3-1 | directional_abs | scaled cap25 | top20,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,20,scaled,0.25,1.0,,,,-2062.52%,,738.40%,,-425.44%,53.16%,-19.625,False,-6.933,-71.47%,-0.142,-0.194,-6.461,-64.28%,-0.219,-0.195,-4.433,-90.38%,-0.120,-0.195,3.937,-209.72%,0.083,-0.217,-5.445,-156.43%,-0.121,-0.215
raw_3-1 | directional_abs | scaled cap20 | top20,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,20,scaled,0.2,1.0,,,,-2051.88%,,738.40%,,-427.50%,53.16%,-19.519,False,-6.933,-71.49%,-0.142,-0.194,-6.462,-64.32%,-0.219,-0.195,-4.434,-90.40%,-0.120,-0.195,3.936,-209.74%,0.083,-0.217,-5.444,-156.40%,-0.121,-0.215
raw_3-1 | directional_abs | scaled cap15 | top20,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,20,scaled,0.15,1.0,,,,-2026.40%,,738.39%,,-429.57%,53.16%,-19.264,False,-6.932,-71.58%,-0.142,-0.194,-6.461,-64.40%,-0.219,-0.195,-4.436,-90.45%,-0.120,-0.195,3.932,-209.78%,0.083,-0.217,-5.442,-156.45%,-0.121,-0.215
raw_3-1 | directional_abs | equal | top30,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,30,equal,,1.0,,,,-1677.22%,,209.77%,,-573.20%,55.06%,-15.772,False,-2.268,-13.17%,-0.163,-0.201,-1.972,-12.35%,-0.236,-0.205,-1.437,-19.48%,-0.137,-0.204,1.165,-54.18%,0.087,-0.227,-1.689,-38.05%,-0.133,-0.199
raw_3-1 | directional_abs | scaled cap25 | top30,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,30,scaled,0.25,1.0,,,,-5379.84%,,551.95%,,-1010.20%,52.53%,-52.798,False,-5.254,-50.67%,-0.144,-0.194,-4.860,-45.63%,-0.221,-0.196,-3.350,-65.10%,-0.122,-0.195,2.976,-154.78%,0.084,-0.218,-4.116,-114.42%,-0.123,-0.212
raw_3-1 | directional_abs | scaled cap20 | top30,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,30,scaled,0.2,1.0,,,,-5361.24%,,551.95%,,-1014.94%,52.53%,-52.612,False,-5.254,-50.68%,-0.144,-0.194,-4.860,-45.65%,-0.221,-0.196,-3.350,-65.12%,-0.122,-0.195,2.977,-154.80%,0.084,-0.218,-4.116,-114.41%,-0.123,-0.212
raw_3-1 | directional_abs | scaled cap15 | top30,raw_3-1,momentum,3.0,1,raw_momentum,directional_abs,30,scaled,0.15,1.0,,,,-5333.85%,,551.95%,,-1019.70%,52.53%,-52.338,False,-5.255,-50.71%,-0.144,-0.194,-4.860,-45.68%,-0.221,-0.196,-3.351,-65.13%,-0.122,-0.195,2.975,-154.81%,0.084,-0.218,-4.115,-114.38%,-0.123,-0.212
voladj6_3-1 | long_only | equal | top10,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,long_only,10,equal,,1.0,6.0,,,9094.08%,18.99%,28.15%,0.675,-46.55%,58.01%,91.941,True,0.855,13.30%,0.460,0.476,0.734,13.27%,0.654,0.464,0.859,12.21%,0.612,0.478,0.723,11.45%,0.440,0.322,0.800,15.61%,0.532,0.617
voladj6_3-1 | long_only | scaled cap25 | top10,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,long_only,10,scaled,0.25,1.0,6.0,,,18777.81%,22.33%,29.73%,0.751,-47.40%,59.29%,188.778,True,0.754,17.39%,0.384,0.545,0.644,17.40%,0.543,0.510,0.797,16.01%,0.538,0.546,0.831,13.08%,0.479,0.424,0.749,19.01%,0.469,0.676
voladj6_3-1 | long_only | scaled cap20 | top10,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,long_only,10,scaled,0.2,1.0,6.0,,,16109.26%,21.62%,29.45%,0.734,-47.69%,59.94%,162.093,True,0.774,16.54%,0.398,0.530,0.661,16.56%,0.563,0.498,0.806,15.26%,0.549,0.530,0.829,12.79%,0.482,0.417,0.762,18.61%,0.481,0.673
voladj6_3-1 | long_only | scaled cap15 | top10,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,long_only,10,scaled,0.15,1.0,6.0,,,11542.93%,20.08%,28.97%,0.693,-47.04%,58.33%,116.429,True,0.801,14.89%,0.419,0.492,0.697,14.77%,0.603,0.471,0.814,13.79%,0.563,0.488,0.796,11.76%,0.470,0.365,0.785,17.07%,0.503,0.639
voladj6_3-1 | long_only | equal | top20,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,long_only,20,equal,,1.0,6.0,,,13788.84%,20.90%,27.38%,0.763,-44.37%,59.94%,138.888,True,0.988,13.44%,0.547,0.581,0.808,13.85%,0.740,0.617,0.932,12.83%,0.683,0.604,0.683,14.32%,0.418,0.412,0.826,17.58%,0.551,0.718
