Date,XOM,CVX,COP,EOG,OXY,FANG,DVN,CTRA,APA,PR,MTDR,CHRD,OVV,CNQ,SU,CVE,IMO,PBR,YPF,EC,SHEL,BP,TTE,EQNR,WMB,KMI,OKE,TRP,ENB,LNG,ET,EPD,MPLX,PAA,VLO,MPC,PSX,DINO,SUN,SLB,HAL,BKR,NOV,FTI,HP,PTEN,LBRT,RES,NBR,NEM,GOLD,AEM,WPM,FNV,RGLD,KGC,AU,HMY,GFI,AGI,OR,PAAS,HL,CDE,AG,FSM,SBSW,FCX,SCCO,TECK,RIO,BHP,VALE,AA,CENX,CLF,NUE,STLD,RS,CRS,ATI,MT,MP,LIN,APD,DD,DOW,LYB,CE,FMC,MOS,NTR,CF,WY,VMC,MLM,CCJ,UEC
2000-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-31,0.0,0.0,0.03734643551490904,0.09640472922529049,0.011874566933715764,0.0,0.00019974088541998715,0.0,0.016723864989009914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08983379588921717,0.0,0.0,0.0,0.013715593768488459,2.759643005489307e-10,0.024363585852234,0.0,0.0,0.0,0.01568419890943172,0.011429832123449404,0.03241064924086673,0.0,0.0,0.13030896373994413,0.0,0.23180571331350316,0.0,0.0,0.0,0.0,0.0,0.0,0.03739131148331365,0.05964430894869761,0.014751268043250098,0.0,0.010125231133783516,0.0,0.0,0.04480688906657081,0.016497804947020335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022571454127241982,0.00012973208413038983,0.0,0.0,9.407117056520011e-05,0.04167548145104002,0.0,0.0,0.0,0.0,0.04021077688294219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-30,0.007424924694640775,0.0,0.036602376589942476,0.07491506063568014,0.0,0.0,0.0009328484369119862,0.0,0.0070441022302825075,0.0,0.0,0.0,0.0,0.0,2.2865966166826272e-10,0.0,0.058949310695316226,0.0,0.0,0.0,0.007448920298739599,0.0,0.0,0.0,0.0,0.0,0.042763161944233935,0.04061510848958914,0.019864085453194857,0.0,0.0,0.20503246618256327,0.0,0.11490194151113058,0.0,0.0,0.0,0.003813515530525778,0.0,0.018120303713897112,0.050596724732686185,0.027100733494834592,0.0,0.0,0.012493001809678083,0.0,0.0,0.01963609527497816,0.05626926164016249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029100506679875043,0.0,0.0,0.0,0.050748261030461844,0.0,0.0,0.0,0.0,0.0556743104152488,0.0,0.0,0.0,0.0,0.03827522678712932,0.0,0.0,0.0,0.0,0.0,0.0,0.021677751499637417,0.0
2000-10-31,0.0390625143351876,0.0,0.03191459266956654,0.04848186484016923,0.0,0.0,0.006031560800770493,0.0,0.0027048699957128498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03570161579928601,0.0,0.0,0.0,0.001329105915190337,0.0,0.0,0.0,0.004545453871621716,0.0,0.07407726433364555,0.039769777015355494,0.0,0.0,0.0,0.22748985146051642,0.0,0.17018111979735684,0.010539104881052707,0.0,0.0,0.022316923614072344,0.0,2.1814394355248995e-10,0.0,0.01902188184891587,0.015327525928215171,0.0,0.0034193664515427455,0.0023940740717649837,0.0,0.05129950360051482,0.0804956436789877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03334086152860632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02725374421128487,0.0,0.0,0.0,0.0,0.0201619562554088,0.0,0.0,0.0,0.0,0.03313982287711057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-11-30,0.027208223404763022,0.0,0.007100576687754955,0.02283712067623948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021161714126456666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06986868380048851,0.05442603535583761,0.04079387458619045,0.0,0.0,0.07588775732643059,0.0,0.12971134540175194,0.014761900835990762,0.0,0.0,0.07825201623892523,0.0,0.0012271398238603308,0.0,0.0,0.014499235428985164,0.0,0.0,0.012159938083184177,0.0,0.09332155342350734,0.05664226267209037,0.0,0.0,0.0,0.0,0.0,2.8448585847299825e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01967129097823784,0.0,0.015360996463951171,0.0,0.0,0.0,0.0,0.0,0.0,0.02401840236325809,0.030188350793395043,0.06611290893030775,0.0,0.0,0.0,0.0,0.018831771491537346,0.0,0.0,0.0,0.0,0.08724700257830151,0.0,0.0,0.0,0.0,0.0,0.0,0.01870989824406893,0.0
