Date,XOM,CVX,COP,EOG,OXY,FANG,DVN,CTRA,APA,PR,MTDR,CHRD,OVV,CNQ,SU,CVE,IMO,PBR,YPF,EC,SHEL,BP,TTE,EQNR,WMB,KMI,OKE,TRP,ENB,LNG,ET,EPD,MPLX,PAA,VLO,MPC,PSX,DINO,SUN,SLB,HAL,BKR,NOV,FTI,HP,PTEN,LBRT,RES,NBR,NEM,GOLD,AEM,WPM,FNV,RGLD,KGC,AU,HMY,GFI,AGI,OR,PAAS,HL,CDE,AG,FSM,SBSW,FCX,SCCO,TECK,RIO,BHP,VALE,AA,CENX,CLF,NUE,STLD,RS,CRS,ATI,MT,MP,LIN,APD,DD,DOW,LYB,CE,FMC,MOS,NTR,CF,WY,VMC,MLM,CCJ,UEC
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-31,0.07161288143911304,0.04150848915402294,0.4315278859961218,2.4520630133779124,0.27952756229746933,,0.7423048476391887,1.1331709137612687,0.927414339866983,,,,,,0.20569775747684438,,0.35998480158764945,,-0.12532018722366312,,0.12591628040986014,-0.0853333837747079,0.18493088893900822,,0.06395389927799444,,0.9012188538259445,0.5270493068913271,0.57707994482406,-0.5503731202282304,,0.6499591323532303,,0.45573106441516154,0.6530316794152673,,,0.4649443910573652,,0.32257388742954274,0.015596050937575656,0.7083798293861547,1.0633330258136158,,0.8852316438472048,1.2405999674518848,,0.7058311872456866,0.9966240654500365,-0.15747651554619813,,-0.06546848740015787,,,-0.2679400511755937,-0.6862744756525669,-0.339687752927903,-0.10497414938804894,-0.1205818433165794,,,-0.4473681231317923,-0.6363636427415376,-0.7169811489339135,,,,-0.508960576530562,-0.14717784700358094,,0.004592372748088547,-0.07406758860427065,,-0.023304356454590835,-0.14224007061913457,-0.17917238697229398,-0.18911923566100297,-0.2931726178607852,0.20498541127310776,0.5352262080623122,-0.20966732103885788,-0.8472644435068568,,0.10665895462909258,0.41515128666205214,-0.021572113835426454,,,,0.33372040380378576,-0.027460296038931076,,,-0.0934567679290409,0.15310751371647924,0.020539652868600156,0.2984196659021141,
2001-02-28,0.1350472276825032,0.14050805684575307,0.5680822898841338,1.879580870343705,0.48268385806220526,,0.4766529807748108,0.7829387340918974,0.5845718175914834,,,,,,0.23755612012351457,,0.29520263212991504,,-0.13956701961326345,,0.17115270939885208,0.11549025254579526,0.11115783956058989,,-0.05105129623468374,,1.0467931757412585,0.6952315477965467,0.3897024599747292,-0.5273107639018397,,0.7847746724383995,,0.5627352356645237,0.3654520673745749,,,0.43288159109159996,,0.047539141553895936,0.08777155113351531,0.6137056568080324,0.5047424951791417,,0.807918161968703,0.6246575860812933,,0.814436849504423,0.6448777789919471,-0.2974420681717266,,-0.12857139873451806,,,-0.29976853438904627,-0.7017475875964183,-0.4217036518999988,-0.25010536150747975,-0.16438327381649454,,,-0.21875007967695625,-0.39478250521530267,-0.5466666745875162,,,,-0.14909067508627838,-0.0742884064802648,,0.23032068272121808,0.08463993606099707,,0.09056798388079268,-0.17812777016343595,-0.3142284353286482,-0.15306623848350687,-0.2886180918792077,0.43910414784510965,0.2864985206216559,0.022278788441053132,-0.7406282130008747,,0.33483280421165107,0.4998484318907628,-0.016120276380616194,,,,0.45635177299030727,0.19917303826640675,,,0.056728156262529694,0.1529925528648124,0.2051116588184394,0.4680793501704148,
2001-03-31,0.06110153990904177,-0.04494044013573828,0.18248473823855238,1.065984338645113,0.19541383781778432,,0.17680648278108047,0.5117600425454494,0.18287973763548449,,,,,,0.21903419714019567,,0.20008025857806389,,-0.12155441093155983,,0.032821202003092464,-0.04374402440996272,-0.028152845829348072,,-0.04059940447152932,,0.8267085414196582,0.7094843933566348,0.3533168401753377,0.04166647854570105,,0.8702625543786646,,0.48184518773101037,0.2061892907169398,,,0.8855125872558784,,-0.15802078185867785,-0.020517512473729016,0.3121986724603101,0.17246978210838582,,0.6876788598838479,0.11023572719579544,,0.36781587941488314,0.4608696868482447,-0.24549976644470528,,0.17213504039171723,,,-0.14814896456160298,-0.6351999777338639,-0.2820264836966738,-0.12283808593532286,0.08020754513681072,,,-0.18852451574610452,-0.3018178965984374,-0.4553191579260756,,,,0.16476749727044582,0.14141571849378565,,0.05430142397115212,0.05403376281172201,,0.0350351140973284,0.009438122807865934,-0.19851119559561936,-0.10423028782225796,0.07567528582919691,0.15242560429759844,0.3981330623680164,-0.08181493827723396,-0.7638374691993643,,0.08372594039822223,0.448836659146959,-0.1081393462428053,,,,0.35858367506117594,-0.04792743367708374,,,-0.02624468619710285,-0.05812962541715083,-0.020318313535514387,0.9086604672406233,
2001-04-30,0.06471284491345641,0.06301172273260525,0.18233647238483064,0.6619360979225322,0.20577183033250424,,0.21345229227964202,0.46565168450516903,0.19237150662577207,,,,,,0.2303946703175177,,0.07207415851529353,,-0.08119521420215658,,-0.01085667099857679,-0.001153453987629116,-0.08820649681882198,,0.1590040689106511,,0.662682600008409,0.85393570424392,0.2930823125723292,0.11607129102456737,,0.7848140523474003,,0.41052826144911836,0.23632612838189804,,,1.3588224950313212,,-0.23973682012870656,-0.15868452104491815,0.15576037101558593,0.4466840136424479,,0.49084014049647084,0.11946917006624047,,0.5665657868491896,0.31448514354005463,-0.30775385008674416,,0.15135955870457218,,,-0.14444436102674652,-0.6000000592184336,-0.2116958509757454,-0.0031530054762261006,0.22622841365889612,,,-0.3278688305323344,-0.4479998448315584,-0.5840000128317759,,,,0.35584415094381683,0.1355810817654972,,0.11901145361300847,-0.049106463682050294,,0.12674508029545462,0.16236827611633098,-0.22695492769718162,-0.05184103475273927,-0.021977322907847374,0.029258534072339026,0.4446428196806398,-0.2517288967404444,-0.7551876194085532,,0.020210134408218172,0.2622420225241837,-0.1296759280113331,,,,0.26556425486095847,-0.18853338878210857,,,-0.017195318908971413,0.0895649921635353,-0.18408440830840012,0.640667192517834,
2001-05-31,0.08011779160937871,0.06905867597338866,0.06672015295242995,0.43254970030399775,0.32800514046429385,,-0.01007001283704767,0.16639636846113115,0.053872032395085645,,,,,,0.23331357119878193,,0.14921832623368414,,-0.1390046885109325,,-0.03673191717628865,0.011257470120579427,-0.037122393581273894,,0.12104895325352616,,0.5343312326816685,0.6354889611148626,0.1281770497800414,-0.23295438682834413,,0.9262537272626019,,0.49666456015562077,0.6583794550147826,,,2.646823206913107,,-0.0893753088567979,-0.14416894231051947,0.09372502467873023,0.5211543343332332,,0.38367685013437636,0.4288079320661784,,0.8173187936298771,0.3865115542563071,-0.20441434364740596,,0.40887531824189516,,,0.05925899980916993,-0.4133333589946603,-0.01888336879108321,0.030144468943081426,0.17085023219310802,,,-0.2670538137003039,-0.3035294386816524,-0.4871794650841331,,,,0.5412242556998008,0.15307295981468916,,0.36120637085926477,0.12850008065928864,,0.4349265437228993,1.2213352573677754,-0.21438171302562092,0.3192902868078442,0.5398667745448131,0.40925444006859646,0.30859618363336994,-0.16865401657842827,-0.6857143508147512,,0.14420845940352667,0.2677265632141075,-0.026707814407015418,,,,0.18008237055737752,-0.20510707108486492,,,0.16780138761077223,0.003563397722226247,-0.051199198778209554,0.7987125666243018,
2001-06-30,0.15393528919744925,0.16696839431599786,0.3087338995204614,0.3486232146099597,0.46992142111772517,,0.04210918206895076,0.4639657103814283,0.015097555269918184,,,,,,0.1697170300530091,,0.13376229179020305,,-0.23174932667633785,,0.014070510144817083,-0.03160776045964042,-0.020845618692768797,,0.04062829279848912,,0.6772285036350667,0.658281694396911,0.3429303254050151,-0.22916676072714948,,0.8130917841283745,,0.5136674226620586,0.4002974827523298,,,2.7305428636018956,,-0.14891451465470473,-0.000683433368475872,0.24647226744309436,0.048931211084514814,,0.06483391367514901,0.03333324511565672,,0.7580871772926159,0.22345906915107916,-0.047553682749609805,,0.2075041459574507,,,0.12963003313970622,-0.16800016739080958,-0.06659731041281247,-0.09697519169639524,0.06273110557002082,,,-0.11999998635917175,-0.06666610645064741,-0.5035897247082592,,,,0.6940531624043127,0.1790661953953132,,0.25946491728118204,-0.022195255499936173,,0.5123277438503071,0.8434504254034003,-0.17845297079580535,0.5636368507631828,0.5249656289864228,0.4431089314247547,0.4609621676610183,0.19419238493254132,-0.6431578752692482,,0.35875933272730665,0.5409963545907024,0.2207247576560687,,,,0.3147994902575335,-0.1369681139592921,,,0.37359367011460276,0.29107178124985933,0.2362347161598919,1.1653588511528157,
2001-07-31,0.11208164204311144,0.1806715435609838,0.14159993215898448,0.2055445626642205,0.36763767604547803,,0.151457449672191,0.328301880783578,0.022677422911441036,,,,,0.07039236690362816,0.2402569206110865,,0.08142974893855537,,-0.3630022189349703,,0.024118219462757384,-0.02127824906618203,-0.026669069406557777,,-0.13150609933861324,,0.5089027393117684,0.7211166876261927,0.3145122957186277,-0.5145631041444694,,0.8067793440954301,,0.3378535585949438,0.4306088701927626,,,2.1764648285510115,,-0.28015807988057706,-0.21894617890568835,-0.02008779672085481,-0.18787874494829648,,-0.03018112196006406,-0.28340794219459053,,0.7974861685903418,-0.10630647377398295,0.05915699803034613,,0.435883768182566,,,0.11636340339303364,0.14909092279435177,-0.04143245045098043,0.178609959264302,0.3032939731430302,,,0.1520002064948771,0.31428556729028245,-0.11333329132454162,,,,0.2277776391919435,0.08396312064903944,,0.13929933271187012,0.07619777415630491,,0.3439961323525804,0.2405786202041218,-0.22112506360028494,0.31676706429855717,0.10497246053803333,0.2133479269614187,-0.005497047289905521,-0.08931649420716636,-0.4749515535245603,,0.20571520267767363,0.39779842389689435,0.20215218134146418,,,,0.13792522098584237,-0.2507202140250786,,,0.2315766275522526,0.2794462800428228,0.1882927134619723,0.7864649105098769,
