strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
raw_6-1 | long_only | scaled cap25 | top10,raw_6-1,momentum,6.0,1,raw_momentum,long_only,10,scaled,0.25,1.0,,,,2221.091746550294,0.343724896053643,0.394224125273516,0.8719022353468696,-0.6139584385780146,0.5942492012779552,2222.091746550294,True,1.0374201616425927,0.2779380325544809,0.3982499944764176,0.7781054822516038,0.9101221038619267,0.2761980987407257,0.5783588940907677,0.826729756114031,0.9980450932256504,0.26850686179541655,0.5070576960120362,0.7896128258085515,1.0528428894777753,0.19376693607234335,0.4680335316317548,0.5844828723439622,1.0787520579394374,0.26380137958687155,0.5194507144821731,0.8043970326503599
raw_6-1 | long_only | scaled cap20 | top10,raw_6-1,momentum,6.0,1,raw_momentum,long_only,10,scaled,0.2,1.0,,,,1817.9712303755105,0.3334518803248516,0.3792818489549302,0.8791664595699529,-0.599636826565267,0.5910543130990416,1818.9712303755105,True,1.0104833178029682,0.26729479011972446,0.4031915125097118,0.7729016359304588,0.8936164168232891,0.26483335887495,0.5902418974341774,0.8244958545222311,0.9766033833890604,0.25763519973174887,0.5157112176511728,0.7851342318065879,1.034883269938775,0.18488712436424723,0.47965162964278296,0.5803140715784431,1.0553470446481275,0.25237912300027465,0.5306978716286848,0.8082356828404823
raw_6-1 | long_only | scaled cap25 | top20,raw_6-1,momentum,6.0,1,raw_momentum,long_only,20,scaled,0.25,1.0,,,,1545.430685518178,0.32517932081278,0.35677121439611725,0.9114505534399384,-0.5621773901014837,0.610223642172524,1546.430685518178,True,1.0242058217307182,0.25129570886531755,0.43445192524297527,0.7889518116311779,0.890259272669391,0.2504677121172499,0.625126131933668,0.8529008537143467,0.9855101529552361,0.24196584933852244,0.5532503652275609,0.8089653359809457,0.9533199465366992,0.1899538006010177,0.46436081284378317,0.5908676232839333,1.0577559682839546,0.2464708290950196,0.5602751565932815,0.8510863102427334
raw_6-1 | long_only | scaled cap20 | top20,raw_6-1,momentum,6.0,1,raw_momentum,long_only,20,scaled,0.2,1.0,,,,1361.1312413378594,0.31874780272978764,0.3501211006049003,0.9103930102444286,-0.5569783352879263,0.6006389776357828,1362.1312413378594,True,1.008867875985978,0.24566455413349356,0.4360741081632184,0.7822973146325582,0.8839576506779415,0.24409254825240437,0.6324906776009448,0.8491681041073434,0.972567618840074,0.23628225396998342,0.5563549212476184,0.8020374020262663,0.9501365988411611,0.1840907592571724,0.4721837084893549,0.5852235183458843,1.042284121941355,0.24068637486720884,0.5639738555884282,0.8500060769028213
raw_6-1 | long_only | scaled cap15 | top10,raw_6-1,momentum,6.0,1,raw_momentum,long_only,10,scaled,0.15,1.0,,,,1182.317059095562,0.3116518420589496,0.35703432533987817,0.8728904196039784,-0.5905064103849298,0.6134185303514377,1183.317059095562,True,0.9868012520671171,0.24486382916640337,0.41827702772088055,0.751263016973598,0.8712972238127948,0.24260813693205224,0.6113604130214233,0.8044376051082412,0.9539613325125038,0.23540459393183458,0.5351446812677506,0.7639877285381378,0.9819099056049669,0.17324290870055634,0.4837703376314315,0.5607902421977088,1.029730134040694,0.23131840672381798,0.5534022758812931,0.8031976377005994
raw_6-1 | long_only | scaled cap15 | top20,raw_6-1,momentum,6.0,1,raw_momentum,long_only,20,scaled,0.15,1.0,,,,1049.6334174221215,0.3056849103721042,0.3397586172165304,0.8997120157729193,-0.5512921491574025,0.6006389776357828,1050.6334174221215,True,0.9871307404594828,0.23422880384459743,0.4396919239639692,0.7636508815222611,0.8706206394367367,0.2320764533733277,0.6419473832240146,0.8310148937179171,0.9554329850363282,0.22464438724436006,0.5632227169940923,0.7829803892368212,0.9391513198720194,0.17581740973934684,0.4812841908007812,0.5743844883842616,1.0186137532643555,0.23136223447482235,0.5692889572954413,0.8449571234360199
wma_3-12 | long_only | scaled cap25 | top10,wma_3-12,wma_crossover,,1,wma_crossover,long_only,10,scaled,0.25,1.0,,3.0,12.0,1015.2523603047811,0.31080328333785934,0.38423262431528415,0.8088935287359358,-0.5426191515464702,0.5928338762214984,1016.2523603047811,True,0.9944211372106052,0.2479072330320803,0.39049387746683867,0.699295915323775,0.8825540167555933,0.25237760090934175,0.5763757584294164,0.7610115170320866,1.0043581059624325,0.2424098909338107,0.5193175860448018,0.7396070523824674,1.0272287260922996,0.1751580843794023,0.4698341302969435,0.5373378303594185,0.9965586204239214,0.24493562874269806,0.49767069191077823,0.7550145385287238
raw_12-1 | long_only | scaled cap25 | top10,raw_12-1,momentum,12.0,1,raw_momentum,long_only,10,scaled,0.25,1.0,,,,930.3259205444015,0.30633960001569616,0.41308833926630073,0.7415837507294338,-0.6446046828578325,0.5830618892508144,931.3259205444015,True,1.1198222647956544,0.2429264453599727,0.4090197522262082,0.6748324996706984,0.9233430452428344,0.2553913499340523,0.560891417152571,0.7220119267359989,1.0747481531183347,0.2425049974091087,0.516895140678525,0.7068221887144481,1.0312789270015457,0.16268013105724932,0.4532911332525673,0.47689735803837946,1.0017936745763076,0.24046944529475478,0.47777990152609273,0.6995099864387336
wma_3-12 | long_only | scaled cap15 | top10,wma_3-12,wma_crossover,,1,wma_crossover,long_only,10,scaled,0.15,1.0,,3.0,12.0,922.4891027660102,0.3059081813177733,0.3577231741160496,0.8551533796312931,-0.5495361006505519,0.6091205211726385,923.4891027660102,True,0.9698678931239045,0.2366053793007427,0.40907564696202586,0.7157249647902028,0.8555470092443609,0.24151508997984028,0.6001439739161541,0.7845689470633173,0.978492758742084,0.23135315284253213,0.543437017539713,0.7630095819067131,0.9485532413758726,0.17389028535300943,0.47058558210562207,0.5496915628217688,0.9751766925809732,0.23165801288776505,0.5310068606899557,0.7941290064575679
wma_3-12 | long_only | scaled cap25 | top20,wma_3-12,wma_crossover,,1,wma_crossover,long_only,20,scaled,0.25,1.0,,3.0,12.0,915.0474616894543,0.3054952484037967,0.34689753109930194,0.880649820238549,-0.5475069971355557,0.6058631921824105,916.0474616894543,True,0.9811478741842845,0.23202504985796485,0.42674788491501475,0.7336624021816037,0.8633234124155996,0.23722098621271664,0.6244978644593219,0.8158825423705757,0.9866802994953225,0.22703911142764627,0.5650851906179435,0.7884777175918923,0.9320319977626998,0.17393224165626506,0.4716140559803398,0.5547259640736709,0.9858095850671676,0.22880998939878988,0.5464344290349636,0.8092885364819408
wma_3-12 | long_only | scaled cap20 | top20,wma_3-12,wma_crossover,,1,wma_crossover,long_only,20,scaled,0.2,1.0,,3.0,12.0,907.8486921881532,0.30509271348235867,0.3459937498144179,0.8817867769172204,-0.549254020245614,0.6058631921824105,908.8486921881532,True,0.9816066849281723,0.2313265936547759,0.4280626865382722,0.7339962468294244,0.8638337976320637,0.23651371716904082,0.6264992943479488,0.8172817692219931,0.9879792015901513,0.22625244887491303,0.5673071096373343,0.7897151038571057,0.9360286905397024,0.17371495107114956,0.47473165958489266,0.5578970431491092,0.9859460161109111,0.22940081008192467,0.5479556255839197,0.8145149947643346
